<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USD000000TOD;15;20161209;110000;63.2500000;63.3550000;63.2425000;63.3150000;105942000
USD000000TOD;15;20161209;111500;63.3175000;63.3200000;63.2475000;63.2675000;42603000
USD000000TOD;15;20161209;113000;63.2600000;63.2725000;63.1350000;63.1600000;80153000
USD000000TOD;15;20161209;114500;63.1575000;63.1650000;63.0025000;63.0425000;57559000
USD000000TOD;15;20161209;120000;63.0400000;63.0525000;62.9000000;62.9050000;46069000
USD000000TOD;15;20161209;121500;62.9000000;62.9600000;62.8625000;62.9500000;48256000
USD000000TOD;15;20161209;123000;62.9500000;62.9925000;62.8950000;62.9825000;51651000
USD000000TOD;15;20161209;124500;62.9750000;62.9850000;62.9425000;62.9650000;15252000
USD000000TOD;15;20161209;130000;62.9650000;63.0075000;62.9525000;62.9800000;31314000
USD000000TOD;15;20161209;131500;62.9800000;63.0250000;62.9575000;63.0250000;18897000
USD000000TOD;15;20161209;133000;63.0175000;63.0450000;63.0100000;63.0375000;59750000
USD000000TOD;15;20161209;134500;63.0350000;63.0475000;63.0025000;63.0475000;14524000
USD000000TOD;15;20161209;140000;63.0475000;63.0575000;62.9100000;62.9975000;51628000
USD000000TOD;15;20161209;141500;63.0000000;63.0100000;62.9550000;63.0100000;27405000
USD000000TOD;15;20161209;143000;63.0025000;63.0525000;63.0000000;63.0225000;17253000
USD000000TOD;15;20161209;144500;63.0250000;63.0350000;62.9550000;62.9775000;13156000
USD000000TOD;15;20161209;150000;62.9700000;63.0400000;62.9625000;63.0225000;10967000
USD000000TOD;15;20161209;151500;63.0275000;63.0950000;63.0100000;63.0775000;23676000
USD000000TOD;15;20161209;153000;63.0750000;63.1575000;63.0625000;63.1500000;22013000
USD000000TOD;15;20161209;154500;63.1500000;63.2000000;63.1300000;63.1450000;22952000
USD000000TOD;15;20161209;160000;63.1500000;63.2100000;63.1225000;63.1700000;18284000
USD000000TOD;15;20161209;161500;63.1825000;63.1875000;63.0750000;63.1150000;33432000
USD000000TOD;15;20161209;163000;63.1250000;63.1725000;63.0650000;63.0675000;16443000
USD000000TOD;15;20161209;164500;63.0700000;63.1300000;63.0525000;63.0600000;24156000
USD000000TOD;15;20161209;170000;63.0675000;63.0875000;63.0075000;63.0475000;9264000
USD000000TOD;15;20161209;171500;63.0400000;63.0400000;62.9600000;62.9600000;19425000
USD000000TOD;15;20161212;101500;62.0125000;62.0125000;61.4775000;61.5325000;177656000
USD000000TOD;15;20161212;103000;61.5400000;61.7200000;61.5300000;61.7050000;106428000
USD000000TOD;15;20161212;104500;61.7050000;61.7050000;61.5625000;61.5850000;72296000
USD000000TOD;15;20161212;110000;61.5950000;61.6400000;61.5500000;61.5950000;71534000
USD000000TOD;15;20161212;111500;61.5900000;61.5950000;61.4200000;61.4375000;102206000
USD000000TOD;15;20161212;113000;61.4400000;61.4475000;61.2000000;61.2200000;103696000
USD000000TOD;15;20161212;114500;61.2200000;61.2675000;61.1650000;61.2175000;80562000
USD000000TOD;15;20161212;120000;61.2275000;61.3500000;61.2200000;61.2975000;93788000
USD000000TOD;15;20161212;121500;61.2900000;61.3000000;61.0100000;61.0275000;113876000
USD000000TOD;15;20161212;123000;61.0225000;61.1475000;60.9400000;61.0975000;120454000
USD000000TOD;15;20161212;124500;61.0925000;61.1850000;61.0750000;61.1100000;88094000
USD000000TOD;15;20161212;130000;61.1125000;61.2675000;61.0625000;61.1400000;83019000
USD000000TOD;15;20161212;131500;61.1300000;61.2675000;61.1150000;61.1800000;58371000
USD000000TOD;15;20161212;133000;61.1850000;61.2100000;61.1150000;61.1225000;27814000
USD000000TOD;15;20161212;134500;61.1225000;61.1475000;60.9975000;61.0100000;52454000
USD000000TOD;15;20161212;140000;61.0125000;61.1025000;60.9700000;61.0950000;33696000
USD000000TOD;15;20161212;141500;61.0825000;61.1375000;61.0575000;61.0925000;14325000
USD000000TOD;15;20161212;143000;61.0875000;61.1525000;61.0825000;61.1250000;32639000
USD000000TOD;15;20161212;144500;61.1275000;61.1450000;61.0850000;61.1225000;19744000
USD000000TOD;15;20161212;150000;61.1225000;61.1350000;61.1000000;61.1225000;23383000
USD000000TOD;15;20161212;151500;61.1175000;61.1475000;61.1100000;61.1375000;17125000
USD000000TOD;15;20161212;153000;61.1400000;61.1575000;61.1350000;61.1450000;19833000
USD000000TOD;15;20161212;154500;61.1450000;61.1775000;61.1225000;61.1725000;21370000
USD000000TOD;15;20161212;160000;61.1650000;61.2200000;61.1650000;61.1950000;42443000
